ds,y
2005.01.03,"1,038.10"
2005.01.04,"1,038.70"
2005.01.05,"1,046.30"
2005.01.06,"1,058.50"
2005.01.07,"1,051.00"
2005.01.10,"1,053.60"
2005.01.11,"1,045.00"
2005.01.12,"1,042.10"
2005.01.13,"1,036.60"
2005.01.14,"1,042.80"
2005.01.17,"1,035.70"
2005.01.18,"1,035.70"
2005.01.19,"1,030.90"
2005.01.20,"1,033.10"
2005.01.21,"1,038.00"
2005.01.24,"1,032.20"
2005.01.25,"1,031.30"
2005.01.26,"1,031.60"
2005.01.27,"1,028.50"
2005.01.28,"1,024.10"
2005.01.31,"1,025.50"
2005.02.01,"1,027.80"
2005.02.02,"1,027.80"
2005.02.03,"1,025.10"
2005.02.04,"1,026.70"
2005.02.07,"1,026.20"
2005.02.11,"1,033.20"
2005.02.14,"1,025.10"
2005.02.15,"1,026.50"
2005.02.16,"1,026.20"
2005.02.17,"1,025.60"
2005.02.18,"1,024.10"
2005.02.21,"1,023.20"
2005.02.22,"1,006.50"
2005.02.23,"1,003.80"
2005.02.24,"1,006.50"
2005.02.25,"1,008.50"
2005.02.28,"1,006.00"
2005.03.02,"1,007.30"
2005.03.03,"1,006.30"
2005.03.04,"1,008.20"
2005.03.07,"1,004.60"
2005.03.08,"1,004.30"
2005.03.09,"1,001.20"
2005.03.10,"1,000.00"
2005.03.11,"1,000.30"
2005.03.14,"1,000.80"
2005.03.15,"1,003.80"
2005.03.16,"1,003.80"
2005.03.17,"1,001.00"
2005.03.18,"1,004.90"
2005.03.21,"1,009.00"
2005.03.22,"1,009.40"
2005.03.23,"1,008.40"
2005.03.24,"1,013.30"
2005.03.25,"1,014.40"
2005.03.28,"1,016.80"
2005.03.29,"1,019.10"
2005.03.30,"1,023.60"
2005.03.31,"1,015.50"
2005.04.01,"1,008.00"
2005.04.04,"1,013.30"
2005.04.06,"1,013.30"
2005.04.07,"1,012.50"
2005.04.08,"1,015.10"
2005.04.11,"1,015.00"
2005.04.12,"1,013.20"
2005.04.13,"1,011.50"
2005.04.14,"1,016.30"
2005.04.15,"1,022.50"
2005.04.18,"1,019.70"
2005.04.19,"1,013.90"
2005.04.20,"1,008.90"
2005.04.21,"1,006.20"
2005.04.22,"1,004.00"
2005.04.25,998.9
2005.04.26,998.9
2005.04.27,"1,002.80"
2005.04.28,"1,002.60"
2005.04.29,997.1
2005.05.02,"1,001.00"
2005.05.03,"1,002.30"
2005.05.04,999.8
2005.05.06,998
2005.05.09,"1,000.80"
2005.05.10,999.1
2005.05.11,"1,000.20"
2005.05.12,999.7
2005.05.13,"1,001.40"
2005.05.16,"1,009.00"
2005.05.17,"1,004.50"
2005.05.18,"1,005.20"
2005.05.19,"1,005.00"
2005.05.20,"1,004.40"
2005.05.23,"1,004.40"
2005.05.24,"1,000.80"
2005.05.25,"1,000.60"
2005.05.26,"1,001.70"
2005.05.27,"1,002.50"
2005.05.30,"1,002.50"
2005.05.31,"1,007.90"
2005.06.01,"1,010.70"
2005.06.02,"1,012.80"
2005.06.03,"1,007.80"
2005.06.07,"1,006.20"
2005.06.08,"1,005.70"
2005.06.09,"1,004.20"
2005.06.10,"1,006.20"
2005.06.13,"1,012.20"
2005.06.14,"1,013.50"
2005.06.15,"1,012.20"
2005.06.16,"1,014.20"
2005.06.17,"1,009.30"
2005.06.20,"1,008.20"
2005.06.21,"1,013.40"
2005.06.22,"1,010.30"
2005.06.23,"1,009.30"
2005.06.24,"1,012.50"
2005.06.27,"1,012.30"
2005.06.28,"1,021.00"
2005.06.29,"1,026.10"
2005.06.30,"1,025.40"
2005.07.01,"1,031.40"
2005.07.04,"1,043.40"
2005.07.05,"1,053.00"
2005.07.06,"1,047.80"
2005.07.07,"1,052.50"
2005.07.08,"1,054.80"
2005.07.11,"1,043.70"
2005.07.12,"1,039.50"
2005.07.13,"1,036.90"
2005.07.14,"1,031.80"
2005.07.15,"1,042.10"
2005.07.18,"1,034.80"
2005.07.19,"1,039.90"
2005.07.20,"1,042.30"
2005.07.21,"1,035.50"
2005.07.22,"1,021.20"
2005.07.25,"1,022.70"
2005.07.26,"1,026.90"
2005.07.27,"1,031.00"
2005.07.28,"1,027.90"
2005.07.29,"1,026.80"
2005.08.01,"1,024.40"
2005.08.02,"1,020.40"
2005.08.03,"1,017.30"
2005.08.04,"1,011.60"
2005.08.05,"1,013.90"
2005.08.08,"1,016.00"
2005.08.09,"1,012.90"
2005.08.10,"1,014.70"
2005.08.11,"1,014.80"
2005.08.12,"1,013.80"
2005.08.16,"1,016.30"
2005.08.17,"1,018.00"
2005.08.18,"1,018.50"
2005.08.19,"1,025.50"
2005.08.22,"1,022.60"
2005.08.23,"1,027.20"
2005.08.24,"1,027.80"
2005.08.25,"1,024.00"
2005.08.26,"1,028.70"
2005.08.29,"1,031.20"
2005.08.30,"1,034.20"
2005.08.31,"1,038.40"
2005.09.01,"1,036.40"
2005.09.02,"1,026.40"
2005.09.05,"1,022.50"
2005.09.06,"1,024.10"
2005.09.07,"1,026.00"
2005.09.08,"1,025.70"
2005.09.09,"1,027.10"
2005.09.12,"1,024.90"
2005.09.13,"1,025.70"
